episode,paired_eb_success,attribution_eligible,wrong_object_violation,native_success_after_replay,first_violation_step,recorded_steps,recorded_policy_steps,reason
task0_ep021.npz,1,1,1,0,48,78,68,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 48
task0_ep022.npz,1,1,1,0,50,85,75,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0032m > 0.0020m
task0_ep023.npz,1,1,1,0,44,81,71,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 44
task0_ep024.npz,1,1,1,0,47,89,79,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0037m > 0.0020m
task0_ep025.npz,1,1,1,0,45,80,70,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 45
task0_ep026.npz,1,1,1,0,52,117,107,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0037m > 0.0020m
task0_ep027.npz,1,1,1,0,48,88,78,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 48
task0_ep028.npz,1,1,1,0,44,79,69,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 44
task0_ep029.npz,1,1,1,0,44,83,73,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0032m > 0.0020m
task0_ep030.npz,1,1,1,0,54,114,104,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0041m > 0.0020m
task0_ep031.npz,1,1,1,0,58,122,112,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 58
task0_ep032.npz,1,1,1,0,52,83,73,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 52
task0_ep033.npz,1,1,1,0,54,87,77,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0063m > 0.0020m
task0_ep034.npz,1,1,1,0,53,86,76,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0042m > 0.0020m
task0_ep035.npz,1,1,1,0,55,86,76,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0033m > 0.0020m
task0_ep036.npz,1,1,1,0,51,83,73,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 51
task0_ep037.npz,1,1,1,0,48,83,73,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 48
task0_ep038.npz,1,1,1,0,54,87,77,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (gripper0_finger_joint1_tip <-> akita_black_bowl_2_main) at step 54
task0_ep039.npz,1,1,1,0,56,93,83,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0036m > 0.0020m
task0_ep040.npz,1,1,1,0,50,82,72,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0035m > 0.0020m
task0_ep041.npz,1,1,1,0,44,79,69,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 44
task0_ep042.npz,1,1,1,0,47,83,73,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 47
task0_ep043.npz,1,1,1,0,48,85,75,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0022m > 0.0020m
task0_ep044.npz,1,1,1,0,43,86,76,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 43
