episode,episode_idx,eb_success,actions_replayed,policy_actions_replayed,er_task_success,arm_contact,gripper_contact,held_object_contact,arm_first_step,gripper_first_step,held_object_first_step,first_contact_step,primary_component,primary_tie,intended_primary,arm_max_obstacle_displacement_m,intended_contact,unintended_contact,arm_reason,gripper_reason,held_object_reason
taskbddl_ep010.npz,10,1,87,77,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878346,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep011.npz,11,1,88,78,1,1,0,0,7,,,7,arm,0,1,0.0005976091767877815,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep012.npz,12,1,86,76,0,1,0,0,7,,,7,arm,0,1,0.0005976091767881792,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep013.npz,13,1,94,84,1,1,0,0,7,,,7,arm,0,1,0.0005976091767880689,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep014.npz,14,1,90,80,0,1,0,0,7,,,7,arm,0,1,0.0005976091767878884,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep015.npz,15,1,99,89,1,1,0,0,7,,,7,arm,0,1,0.0005976091767877237,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep016.npz,16,1,90,80,1,1,0,0,7,,,7,arm,0,1,0.000597609176787889,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep017.npz,17,1,87,77,1,1,0,0,7,,,7,arm,0,1,0.0005976091767877768,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep018.npz,18,1,96,86,0,1,0,0,7,,,7,arm,0,1,0.0005976091767878884,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep019.npz,19,1,86,76,0,1,0,0,7,,,7,arm,0,1,0.000597609176787725,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep020.npz,20,1,85,75,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878353,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep021.npz,21,1,91,81,0,1,0,0,7,,,7,arm,0,1,0.0005976091767881227,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep022.npz,22,1,87,77,0,1,0,0,7,,,7,arm,0,1,0.000597609176787889,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep024.npz,24,1,87,77,1,1,0,0,7,,,7,arm,0,1,0.0005976091767881798,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep025.npz,25,1,86,76,0,1,0,0,7,,,7,arm,0,1,0.0005976091767881792,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep026.npz,26,1,89,79,1,1,0,0,7,,,7,arm,0,1,0.0005976091767879987,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep027.npz,27,1,89,79,1,1,0,0,7,,,7,arm,0,1,0.0005976091767879442,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep028.npz,28,1,85,75,1,1,0,0,7,,,7,arm,0,1,0.0005976091767879442,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep029.npz,29,1,89,79,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878898,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep030.npz,30,1,91,81,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878353,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep031.npz,31,1,94,84,1,1,0,0,7,,,7,arm,0,1,0.0005976091767877815,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep032.npz,32,1,90,80,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878366,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep033.npz,33,1,90,80,0,1,0,0,7,,,7,arm,0,1,0.0005976091767880545,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep034.npz,34,1,90,80,1,1,0,0,7,,,7,arm,0,1,0.0005976091767881792,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep035.npz,35,1,87,77,1,1,0,0,7,,,7,arm,0,1,0.0005976091767883466,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep036.npz,36,1,90,80,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878353,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep037.npz,37,1,89,79,0,1,0,0,7,,,7,arm,0,1,0.0005976091767877802,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep038.npz,38,1,85,75,0,1,0,0,7,,,7,arm,0,1,0.0005976091767880697,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep039.npz,39,1,92,82,1,1,0,0,7,,,7,arm,0,1,0.000597609176787834,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep040.npz,40,1,89,79,1,1,0,0,7,,,7,arm,0,1,0.0005976091767879455,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep041.npz,41,1,84,74,0,1,0,0,7,,,7,arm,0,1,0.000597609176788071,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep042.npz,42,1,84,74,1,1,0,0,7,,,7,arm,0,1,0.0005976091767879455,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep043.npz,43,1,90,80,0,1,0,0,7,,,7,arm,0,1,0.0005976091767878898,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep044.npz,44,1,83,73,0,1,0,0,7,,,7,arm,0,1,0.0005976091767877802,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep045.npz,45,1,91,81,0,1,0,0,7,,,7,arm,0,1,0.0005976091767880703,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep046.npz,46,1,88,78,0,1,0,0,7,,,7,arm,0,1,0.000597609176787725,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep047.npz,47,1,91,81,1,1,0,0,7,,,7,arm,0,1,0.0005976091767879449,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep048.npz,48,1,91,81,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878911,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep049.npz,49,1,87,77,1,1,0,0,7,,,7,arm,0,1,0.0005976091767879455,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
