episode,paired_eb_success,attribution_eligible,wrong_object_violation,native_success_after_replay,first_violation_step,recorded_steps,recorded_policy_steps,reason
task0_ep018.npz,1,1,1,0,50,82,72,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0043m > 0.0020m
task0_ep019.npz,1,1,1,0,58,118,108,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0030m > 0.0020m
task0_ep020.npz,1,1,1,0,47,85,75,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 47
task0_ep021.npz,1,1,1,0,45,85,75,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0022m > 0.0020m
task0_ep022.npz,1,1,1,0,45,82,72,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0041m > 0.0020m
task0_ep023.npz,1,1,1,0,75,115,105,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0037m > 0.0020m
task0_ep024.npz,1,1,1,0,49,125,115,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 49
task0_ep025.npz,1,1,1,0,44,79,69,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (gripper0_finger_joint1_tip <-> akita_black_bowl_2_main) at step 44
task0_ep026.npz,1,1,1,0,46,82,72,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 46
task0_ep027.npz,1,1,1,0,54,89,79,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 54
task0_ep028.npz,1,1,1,0,44,91,81,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 44
task0_ep029.npz,1,1,1,0,55,89,79,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 55
task0_ep030.npz,1,1,1,0,52,81,71,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_leftfinger) at step 52
task0_ep031.npz,1,1,1,0,50,81,71,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0052m > 0.0020m
task0_ep032.npz,1,1,1,0,53,116,106,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0027m > 0.0020m
task0_ep033.npz,1,1,1,0,50,83,73,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 50
task0_ep034.npz,1,1,1,0,58,90,80,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_leftfinger) at step 58
task0_ep035.npz,1,1,1,0,47,114,104,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 47
task0_ep036.npz,1,1,1,0,50,85,75,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 50
task0_ep037.npz,1,1,1,0,48,81,71,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 48
task0_ep038.npz,1,1,1,0,50,83,73,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 50
task0_ep039.npz,1,1,1,0,57,93,83,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0041m > 0.0020m
task0_ep040.npz,1,1,1,0,49,80,70,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (gripper0_finger_joint1_tip <-> akita_black_bowl_2_main) at step 49
task0_ep041.npz,1,1,1,0,43,79,69,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 43
task0_ep042.npz,1,1,1,0,47,84,74,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 47
task0_ep043.npz,1,1,1,0,49,83,73,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0043m > 0.0020m
task0_ep044.npz,1,1,1,0,79,125,115,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0070m > 0.0020m
